,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
ahc,26.844808881486422,144792.88,110105.94547000004,76.043756757929,4182.437379999998,2.8885656394154173,9046.365309999988,6.247797067093345,25640.569219999998,17.708446174977663
bhmm,56.143744775295566,144792.88,67683.296,46.74490624124612,4182.561000000006,2.8886510165417016,9046.357999999991,6.247792018502561,68063.226,47.007301740251314
spectral,55.84153861709223,144792.88,68120.869,47.047112399449475,4182.561000000006,2.8886510165417016,9046.357999999991,6.247792018502561,67625.65300000002,46.70509558204797
pyannote,11.187465847768147,144792.87999999995,134501.39699999997,92.89227274158786,5907.170999999968,4.0797385893560305,4898.6749999999865,3.383229202982901,5392.807999999954,3.724498055429214
