,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
aepyx,60.73437183896424,148.29,63.70299999999998,42.95839233933508,5.476000000000052,3.692764178299314,5.773000000000074,3.893047407107745,78.81399999999994,53.14856025355718
aggyz,68.32585350216381,249.56,85.22500000000002,34.15010418336273,6.179000000000027,2.4759576855265375,2.5799999999999983,1.0338195223593518,161.75499999999997,64.81607629427792
aiqwk,37.1486440868685,177.73999999999995,122.17399999999999,68.73748171486443,10.462000000000078,5.886125801732914,7.673000000000004,4.3169798582198755,47.892999999999965,26.945538426915707
aorju,57.854376813757966,1071.6699999999996,493.80799999999994,46.07836367538516,42.146000000000164,3.93274048914313,21.276000000000124,1.985312642884482,556.5859999999994,51.93632368173035
auzru,77.70603612634392,508.7700000000001,119.13000000000001,23.415295713190634,5.704999999999979,1.1213318395345593,97.5780000000001,19.179196886608896,292.062,57.40550740020048
bgvvt,49.386493294437436,1004.3900000000001,544.3599999999994,54.19807047063385,36.002999999999545,3.5845637650712914,96.84300000000019,9.641971744043667,363.18700000000047,36.159957785322476
bidnq,48.79467037708931,1135.5399999999997,604.202,53.20834140585097,22.744999999999656,2.003011782940245,151.99300000000005,13.385085509977639,379.34500000000014,33.40657308417143
bjruf,47.604275776864554,372.33000000000004,206.91600000000005,55.57328176617518,11.830999999999925,3.177557543039756,58.33699999999978,15.66809013509515,107.07700000000013,28.758628098729655
bmsyn,77.50875969378436,602.1899999999995,189.44200000000006,31.458841893754503,54.00200000000011,8.967601587538843,86.04599999999948,14.288845713146939,326.702,54.25231239309857
bpzsc,32.790520907498994,1039.3399999999992,712.7789999999999,68.57996420805516,14.244000000000234,1.3704851155541253,54.242999999999725,5.21898512517557,272.3179999999998,26.201050666769298
bvqnu,68.87253841159921,554.5200000000001,183.469,33.08609247637595,10.860999999999912,1.9586308879751697,19.512000000000064,3.5187188920147263,351.53900000000004,63.39518863160931
bvyvm,59.156523392925045,105.16000000000001,44.64800000000001,42.457208063902634,1.6969999999999779,1.6137314568276697,5.655999999999982,5.378470901483436,54.856000000000016,52.16432103461393
bxcfq,27.477902472936723,201.38000000000002,146.15500000000006,72.5767206276691,0.11000000000000298,0.05462310060582132,6.246000000000011,3.1015989671268303,48.97899999999997,24.321680405204074
byapz,49.45714354101345,417.78999999999996,216.24599999999992,51.75949639771175,5.083000000000061,1.2166399387252114,9.41799999999997,2.254242562052699,192.12600000000006,45.98626104023554
cadba,61.14963095504362,178.83999999999997,73.59300000000002,41.15019011406846,4.113000000000028,2.2998210691120713,7.6720000000000255,4.289868038470156,97.57499999999995,54.559941847461396
cawnd,63.25360064322169,1144.2399999999998,442.22299999999996,38.64774872404391,21.7559999999998,1.901349367265592,21.08999999999947,1.8431447947982482,680.9270000000005,59.50910648115784
clfcg,72.89954421148586,274.24999999999994,84.811,30.924703737465823,10.488000000000039,3.824247948951701,7.764999999999958,2.831358249772091,181.67399999999992,66.24393801276206
cpebh,0.6200784362165315,647.66,646.337,99.79572615261094,2.6930000000000387,0.41580458882747723,1.3229999999999489,0.2042738473890543,0.0,0.0
cqfmj,27.126288659793797,108.63999999999999,80.799,74.37315905743742,1.6289999999999898,1.4994477172312133,7.702999999999982,7.090390279823254,20.138000000000005,18.53645066273933
crorm,25.693396334610192,871.9399999999999,648.3249999999999,74.35431337018602,0.41600000000003134,0.04770970479620517,73.07200000000014,8.380393146317424,150.5429999999999,17.26529348349656
crylr,48.172719106890796,155.85999999999999,89.96899999999997,57.72423970229691,9.190999999999992,5.896958809187728,7.268999999999983,4.663800846913887,58.62200000000003,37.611959450789186
cvofp,63.44476266919635,1096.36,440.38099999999974,40.16755445291691,39.60400000000095,3.6123171221132617,40.80900000000008,3.7222262760407245,615.1700000000001,56.11021927104237
