,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
aepyx,11.213163396048369,148.29,138.20199999999988,93.19711376357131,6.540000000000028,4.410277159619683,5.926000000000062,3.99622361588783,4.162000000000035,2.806662620540856
aggyz,9.374499118448435,249.56,232.235,93.05778169578458,6.069999999999954,2.432280814233032,0.7990000000000137,0.3201634877384251,16.52599999999995,6.622054816476979
aiqwk,14.755260492854703,177.73999999999995,161.904,91.09035670079894,10.389999999999976,5.845617193653639,3.0489999999999875,1.7154270282434951,12.786999999999978,7.194216270957567
aorju,11.005066858267904,1071.6699999999992,1001.3839999999997,93.44145119299789,47.6520000000002,4.446518051265803,19.973999999999478,1.863820019222288,50.31199999999989,4.694728787779813
auzru,3.044597755370782,508.77,500.79400000000004,98.43229750181811,7.513999999999983,1.4768952571889034,3.756999999999991,0.7384476285944515,4.2189999999999515,0.8292548695874269
bgvvt,12.442776212427217,1004.3900000000001,918.5580000000016,91.45431555471495,39.14199999999911,3.897091767142156,82.41399999999892,8.20537838887274,3.417999999999722,0.3403060564123221
bidnq,19.744438769219798,1135.539999999998,987.1939999999985,86.93608327315641,75.85999999999915,6.680522042376252,70.48599999999911,6.207267027141206,77.85999999999979,6.856649699702338
bjruf,21.778798377783094,372.3299999999999,311.1529999999999,83.56914565036392,19.91199999999981,5.347944028147024,34.52099999999992,9.271613890903211,26.656000000000038,7.159240458732857
bmsyn,33.2009830784302,602.1899999999983,477.50199999999927,79.29424268088154,75.24499999999927,12.495225759311756,64.33999999999959,10.684335508726443,60.34799999999944,10.021421810392003
bpzsc,8.401677987953883,1039.3399999999983,986.191999999999,94.88637019647089,34.174000000000376,3.2880481844247726,26.42199999999989,2.542190236111372,26.725999999999477,2.571439567417738
bvqnu,8.237935511793934,554.5199999999996,524.3409999999998,94.5576354324461,15.501999999999832,2.795570944240035,7.172999999999877,1.2935511793983772,23.005999999999986,4.148813388155522
bvyvm,7.073031570939473,105.16000000000001,99.28400000000005,94.41232407759608,1.5619999999999798,1.4853556485355457,5.87599999999997,5.587675922403927,0.0,0.0
bxcfq,2.006654086801061,201.38000000000002,198.9,98.76849736815969,1.5609999999999822,0.7751514549607617,2.2800000000000167,1.1321879034660922,0.19999999999997797,0.09931472837420695
byapz,12.893798319729985,417.78999999999996,370.43000000000006,88.66416142080952,6.508999999999976,1.5579597405394998,9.563999999999929,2.2891883482132003,37.79599999999999,9.046650230977285
cadba,16.171997316036656,178.83999999999997,155.45700000000002,86.92518452247822,5.5389999999999855,3.0971818385148655,3.5619999999999976,1.9917244464325643,19.820999999999973,11.083091031089229
cawnd,7.3070334894776225,1144.2399999999989,1091.0689999999993,95.35316017618683,30.43899999999887,2.66019366566445,21.652999999999967,1.8923477592113531,31.517999999999827,2.754492064601819
clfcg,18.817502278942502,274.2499999999997,233.6209999999999,85.18541476754791,10.977999999999913,4.002917046490401,7.556999999999963,2.7555150410209555,33.07199999999989,12.059070191431148
cpebh,0.5728314238952588,647.66,646.507,99.82197449278942,2.557000000000043,0.3948059166846869,1.1529999999999898,0.1780255072105719,0.0,0.0
cqfmj,8.757363770250363,108.63999999999999,100.778,92.76325478645069,1.6519999999999966,1.520618556701028,7.185999999999993,6.614506627393219,0.6760000000000019,0.6222385861561138
crorm,8.422712571965956,871.9399999999999,798.8670000000001,91.61949216689224,0.36800000000005795,0.042204738858184966,73.07299999999991,8.380507833107773,0.0,0.0
crylr,35.597330938021315,155.85999999999999,109.45099999999996,70.22391890157833,9.073,5.821249839599641,6.051999999999992,3.882971897857046,40.35700000000003,25.893109200564627
cvofp,8.386114050129555,1096.36,1056.1279999999997,96.33040242256192,51.7100000000002,4.71651647269147,36.41200000000012,3.3211718778503525,3.82000000000005,0.34842569958773123
cwbvu,25.914105321584675,144.13,108.62300000000003,75.36460140151254,1.843000000000007,1.2787067230972087,25.013000000000005,17.354471657531402,10.493999999999977,7.280926940956065
dgvwu,10.264658085484964,775.3399999999997,720.4910000000004,92.92581319163216,24.73699999999993,3.190471277117128,31.94199999999983,4.119741016844203,22.90699999999933,2.9544457915236335
diysk,28.040371246073985,1133.4799999999939,958.4639999999961,84.55940995871133,142.8160000000001,12.599781204785339,55.268000000000555,4.875957229064549,119.7479999999971,10.564632812224101
dkabn,15.016739942237844,1087.2199999999996,944.0140000000001,86.82824083442178,20.058999999999003,1.8449807766596467,124.34099999999933,11.436599768216126,18.864999999999895,1.7351593973620705
dlast,4.684274411475397,1128.6699999999976,1082.047999999998,95.8692974917381,6.247999999999777,0.5535719032134983,33.39700000000025,2.9589694064695897,13.224999999999227,1.1717331017923092
dohag,4.3387178192832065,39.62,37.926,95.72438162544171,0.025000000000000355,0.06309944472488732,1.6940000000000062,4.275618374558319,0.0,0.0
duvox,4.9028189665626325,907.0699999999997,873.4899999999998,96.29797038817291,10.891999999999797,1.2007893547355553,24.20599999999989,2.668592280639851,9.373999999999967,1.0334373311872258
dxbbt,5.519954010468694,661.0199999999994,638.3199999999995,96.56591328552844,13.788000000000183,2.085867295997125,16.32399999999991,2.4695168073583136,6.376000000000033,0.9645699071132551
dxokr,6.226201269265632,176.48000000000002,169.37,95.97121486854033,3.8779999999999886,2.197416137805977,0.45299999999997453,0.25668631006344883,6.657000000000025,3.7720988213962063
dzsef,0.6197427016328595,161.68,161.17000000000002,99.68456209797131,0.4919999999999902,0.3043047996041503,0.510000000000017,0.31543790202870914,0.0,0.0
